li2 khui1 a1i5	li2|khui1|a1.i5
chui3cih8	chui3.cih8
chui3cih8	chui3.cih8
he7khi3 ping1siunn1	he7khi3|ping1.siunn1
tan2le0	tan2.le0
li2 a1i5	li2|a1.i5
i1 beh4 tan3 li2	i1|beh4|tan3|li2
kio3 li2 tam3 cia1	kio3|li2|tam3|cia1
i1 beh4 tam3 hia1 tan3 li2	i1|beh4|tam3|hia1|tan3|li2
i1 beh4 li2	i1|beh4|li2
li2	li2
li2 an3ne1	li2|an3.ne1
li2 be7hiau2	li2|be7hiau2
a1i5 tan3 ho2	a1.i5|tan3|ho2
kin2	kin2
tan2le0 khah4 li2 chit4chit4	tan2.le0|khah4|li2|chit4.chit4
he1	he1
i1 kong2 i1 ciu2cui3	i1|kong2|i1|ciu2.cui3
khong1khong1	khong1.khong1
khong1khong1	khong1.khong1
he1 lai7te2	he1|lai7te2
he1 a1i5	he1|a1.i5
li2 chiann2 a1i5 lim1	li2|chiann2|a1.i5|lim1
hit4 siang1 li2 bian2	hit4|siang1|li2|bian2
cit4 siang1 siunn1 se3 siang1	cit4|siang1|siunn1|se3|siang1
cit4 siang1 siunn1 se3 siang1 li2 tan1a2 beh4	cit4|siang1|siunn1|se3|siang1|li2|tan1.a2|beh4
mai3	mai3
cit4 siang1 siunn1 se3 siang1	cit4|siang1|siunn1|se3|siang1
li2	li2
li2	li2
khong1khong1	khong1.khong1
he1 tan2le0 cin1ciann3 li2 kok0loh8khi3	he1|tan2.le0|cin1.ciann3|li2|kok0loh8khi3
li2 beh4 pang3sai2	li2|beh4|pang3.sai2
kin2	kin2
pang3ho2	pang3.ho2
pang3	pang3
chau3moo1moo1	chau3.moo1.moo1
kio3 a1i5 li2 sai2sai2	kio3|a1.i5|li2|sai2.sai2
chau3moo1moo1	chau3.moo1.moo1
thai2ko1	thai2.ko1
cau2	cau2
kha1 peh4khui1	kha1|peh4.khui1
khoo3	khoo3
kin2	kin2
li2 a1i5 li2 khuann3tioh8	li2|a1.i5|li2|khuann3.tioh8
a1i5 li2 chio3	a1.i5|li2|chio3
kin2	kin2
khong1khong1	khong1.khong1
ciu2kan1a2 beh4 chong3 sann2	ciu2.kan1.a2|beh4|chong3|sann2
chong3 sann2	chong3|sann2
li2 oo1peh8 tan3 li2	li2|oo1.peh8|tan3|li2
be7sai2	be7sai2
ce1	ce1
a1i5 hia1 li2 khuann3	a1.i5|hia1|li2|khuann3
li2 tan3 kah4 puann3	li2|tan3|kah4|puann3
li2 long2 chue7chut4lai5 gua2 khah4 oo2	li2|long2|chue7chut4.lai5|gua2|khah4|oo2
li2 cok4 lo1so1 li2	li2|cok4|lo1.so1|li2
ho2	ho2
mai3 cha2	mai3|cha2
cit4 chut4 li2 bat4 khuann3	cit4|chut4|li2|bat4|khuann3
cit4 chut4 be7bai2 khuann3	cit4|chut4|be7bai2|khuann3
sann2mih8 kok4	sann2.mih8|kok4
kong2 sann2 long2 thiann1 long2	kong2|sann2|long2|thiann1|long2
i1 ka1ti7 tih4 oo1peh8	i1|ka1.ti7|tih4|oo1.peh8
khioh4khi2lai5	khioh4.khi2.lai5
gua2 kong3	gua2|kong3
tau3lue3	tau3.lue3
kin2	kin2
long2 tau3lue3	long2|tau3.lue3
li2 tau3lue3 a1i5 bo5ai3 kah4 li2 sng2	li2|tau3.lue3|a1.i5|bo5ai3|kah4|li2|sng2
tau3lue3 a1i5 khah4 beh4 kah4 li2 sng2	tau3.lue3|a1.i5|khah4|beh4|kah4|li2|sng2
kah4	kah4
i1 kong2 tua3 nng7pah4	i1|kong2|tua3|nng7pah4
li2 cai1iann2 kong2 tha5tu2a2	li2|cai1.iann2|kong2|tha5tu2.a2
nng7tiam2	nng7tiam2
hun2ciau2	hun2.ciau2
u7kau3 thiann3	u7kau3|thiann3
kui1 khang1	kui1|khang1
li2 khuann3 i1 lih4 hun2ciau2	li2|khuann3|i1|lih4|hun2.ciau2
ce7khi3 hia1	ce7khi3|hia1
khuann3tioh8	khuann3.tioh8
ce1 sann2mih8	ce1|sann2.mih8
he1 si3kha1a2	he1|si3.kha1.a2
an3na2	an3.na2
gua2 cai1	gua2|cai1
phah4 chim2a2	phah4|chim2.a2
chin1chiunn7 thih4phinn3a2 hit4 ciong2	chin1.chiunn7|thih4.phinn3.a2|hit4|ciong2
kin2	kin2
li2 chui3 gua2 thinn7khi2lai5	li2|chui3|gua2|thinn7khi2.lai5
khi3 toh4	khi3|toh4
khi3 chi7a2	khi3|chi7a2
in1 pa1pa1 khi3 khuan2	in1|pa1.pa1|khi3|khuan2
kut4thau5 he1 bah4	kut4.thau5|he1|bah4
oo1peh8 kong2	oo1.peh8|kong2
long2 a2be7 cu2	long2|a2.be7|cu2
he1 li2 bat4 kue3	he1|li2|bat4|kue3
he1	he1
kui2 hue3	kui2|hue3
li2 a1i5	li2|a1.i5
piann2	piann2
ce1 sann2mih8	ce1|sann2.mih8
ce1	ce1
li2 kong2 kue3	li2|kong2|kue3
ong5san1sui2	ong5san1.sui2
li2 kui2 hue3	li2|kui2|hue3
oo1peh8 kong2	oo1.peh8|kong2
ce1 a1kong1 cing3	ce1|a1.kong1|cing3
oo1peh8 kong2	oo1.peh8|kong2
in1 a1peh4	in1|a1.peh4
oo1peh8 kong2	oo1.peh8|kong2
sann2mih8 chai3poo2 e5a2	sann2.mih8|chai3.poo2|e5a2
chai3poo2	chai3.poo2
li2 oo1peh8 kong2	li2|oo1.peh8|kong2
li2 kin1a2 tang1si5 chai3poo2	li2|kin1.a2|tang1.si5|chai3.poo2
i1 be7hiau2	i1|be7hiau2
a1xuan1 li2 khah4 se3	a1.xuan1|li2|khah4|se3
chui3 ai3 am1khi2lai5	chui3|ai3|am1.khi2.lai5
kin2	kin2
kau2hia7	kau2.hia7
li2 khuann3 ce1 sann2	li2|khuann3|ce1|sann2
ce1 ko1ko1	ce1|ko1.ko1
ce1 siann2mih8	ce1|siann2.mih8
si5cing1	si5cing1
ce1	ce1
kok4ki5	kok4.ki5
ce1 siann2mih8	ce1|siann2.mih8
kau5san1a2	kau5san1.a2
ce1 siann2mih8	ce1|siann2.mih8
ki1chia1	ki1.chia1
ce1 siann2mih8	ce1|siann2.mih8
chiu2	chiu2
cing2thau5a2	cing2.thau5a2
ce1 siann2mih8	ce1|siann2.mih8
kong1chia1	kong1.chia1
siann2mih8	siann2.mih8
hue2chia1	hue2.chia1
ce1	ce1
ce1 siann2mih8	ce1|siann2.mih8
kha1tah8chia1	kha1.tah8chia1
ce1 siann2mih8	ce1|siann2.mih8
chioh4	chioh4
ce1 siann2mih8	ce1|siann2.mih8
ce1	ce1
ce1 siann2mih8	ce1|siann2.mih8
kau2hia7	kau2.hia7
ce1	ce1
chah4thau5	chah4.thau5
ce1	ce1
ce1	ce1
ce1 siann2mih8	ce1|siann2.mih8
ce1 siann2mih8	ce1|siann2.mih8
sai1 kau2a2	sai1|kau2.a2
ce1	ce1
chue1hong1ki1	chue1.hong1.ki1
ce1 sann2	ce1|sann2
ce1 siann2mih8	ce1|siann2.mih8
cau3kha1	cau3.kha1
ce1 siann2mih8	ce1|siann2.mih8
bo5iau3kin2	bo5iau3.kin2
bue2iah8a2	bue2.iah8a2
ah4	ah4
ah4	ah4
gia5a2	gia5a2
ah4	ah4
kim1ciam1hue1	kim1.ciam1.hue1
sio1sio1	sio1.sio1
li2 kong2 bue7sai2cit4	li2|kong2|bue7sai2.cit4
phah4ka1chiunn3	phah4.ka1.chiunn3
li2 kong2 phah4ka1chiunn3	li2|kong2|phah4.ka1.chiunn3
ce1 siann2mih8	ce1|siann2.mih8
ang5chai3thau5	ang5chai3.thau5
phah4ka1chiunn3	phah4.ka1.chiunn3
khu3khu3sau3	khu3.khu3.sau3
li2 khu3khu3sau3	li2|khu3.khu3.sau3
li2 kam2 khu3khu3sau3	li2|kam2|khu3.khu3.sau3
khu3khu3sau3	khu3.khu3.sau3
ce1 siann2mih8	ce1|siann2.mih8
ce1 leh4 siann2mih8	ce1|leh4|siann2.mih8
ho2	ho2
li2 pai3thok4	li2|pai3.thok4
ce1 siann2mih8	ce1|siann2.mih8
ah4a2	ah4.a2
ce1 siann2mih8	ce1|siann2.mih8
enn1a2	enn1.a2
ce1 siann2mih8	ce1|siann2.mih8
si3kha1a2 ciunn1ci5	si3.kha1.a2|ciunn1.ci5
si3kha1a2	si3.kha1.a2
sio1sio1	sio1.sio1
sio2tan2le0	sio2.tan2.le0
ka3 li2	ka3|li2
li2 a1peh4	li2|a1.peh4
sai2chia1	sai2.chia1
cik4kong1 in1	cik4.kong1|in1
hit4 tua3 cia1	hit4|tua3|cia1
cit4cun7 tua3 cia1	cit4.cun7|tua3|cia1
khah4 kong2 tua3 cia1	khah4|kong2|tua3|cia1
khi3	khi3
siann2mih8	siann2.mih8
he1 kam2 sai1	he1|kam2|sai1
ce1 siann2mih8	ce1|siann2.mih8
sang3	sang3
m7thang1	m7thang1
m7bian2	m7bian2
an3ne1 ho2	an3.ne1|ho2
kong2 ce1 ciu2khut4a2	kong2|ce1|ciu2.khut4.a2
ciu2khut4a2	ciu2.khut4.a2
i1	i1
tueh4	tueh4
bue2liu1	bue2.liu1
bue2liu1	bue2.liu1
lan2 phang5khi3 khuann3	lan2|phang5khi3|khuann3
khi2lai5	khi2.lai5
ce1 beh4 chong3 siann2mih8	ce1|beh4|chong3|siann2.mih8
bin7kin1 beh4 chong3 siann2mih8	bin7kin1|beh4|chong3|siann2.mih8
ce1 siann2mih8	ce1|siann2.mih8
ce1 siann2mih8	ce1|siann2.mih8
cit4 ciah4 siann2mih8	cit4|ciah4|siann2.mih8
cit4 ciah4	cit4|ciah4
niau1mi1	niau1.mi1
cit4 ciah4	cit4|ciah4
cit4 ciah4	cit4|ciah4
ah4bi5bi5	ah4.bi5bi5
cit4 ciah4 kau5a2	cit4|ciah4|kau5a2
kau5a2	kau5a2
ho2	ho2
a1i5	a1.i5
a1i5 long3hai7	a1.i5|long3.hai7
uann2ko1	uann2.ko1
tui3 khai1si2	tui3|khai1.si2
ui3 khai1si2	ui3|khai1.si2
koh4	koh4
koh4	koh4
i1 kah4 ciok4 ho2	i1|kah4|ciok4|ho2
kin1a2jit8 sann2 beh4 li2 khuann3	kin1.a2.jit8|sann2|beh4|li2|khuann3
theh8chut4lai5 hia1 leh4	theh8chut4.lai5|hia1|leh4
lim1 sio1ciu2	lim1|sio1.ciu2
kin2	kin2
gua2 khah4thing5a2 li2 khuann3	gua2|khah4.thing5a2|li2|khuann3
gun2 hia1 bang7a2	gun2|hia1|bang7a2
in1 guan2 thau1ciah8 chai3	in1|guan2|thau1.ciah8|chai3
khi3	khi3
thiann1 i1 leh4 ce1 leh4 siann1	thiann1|i1|leh4|ce1|leh4|siann1
in1ui7 gua2 i1	in1.ui7|gua2|i1
i1 leh4 gua2 cai1iann2	i1|leh4|gua2|cai1.iann2
i1 pue1kue3lai5	i1|pue1.kue3.lai5
he1 ciok4 bo5chai2	he1|ciok4|bo5chai2
li2 ciok4 bo5tann2 i1	li2|ciok4|bo5tann2|i1
i1 ciok4 bo5tann2	i1|ciok4|bo5tann2
i1 kiann1	i1|kiann1
i1 ciok4 bo5tann2 li2 i1 huah4	i1|ciok4|bo5tann2|li2|i1|huah4
peh4khi2lai5	peh4.khi2.lai5
khah4kin2	khah4.kin2
pang3sai2loh8 hue2hua1	pang3.sai2.loh8|hue2.hua1
koh4 leh4 hia1	koh4|leh4|hia1
i1 beh4 pang3sai2	i1|beh4|pang3.sai2
ce1 siann2mih8	ce1|siann2.mih8
khi3	khi3
khi3 hia1	khi3|hia1
tan2le0 khi3 tian7hong1 ka2tioh8	tan2.le0|khi3|tian7hong1|ka2.tioh8
khuan2	khuan2
li2 beh4 phue3 ciu2	li2|beh4|phue3|ciu2
cai1	cai1
khi3 hai2khau2 ma2 hia1	khi3|hai2.khau2|ma2|hia1
koh4 hue2ko1	koh4|hue2.ko1
kuah4 sun2a2	kuah4|sun2.a2
kong2 ciah8pa2	kong2|ciah8pa2
li2 kong2 phiat4a2	li2|kong2|phiat4.a2
kong2 ce1 kin1cio1	kong2|ce1|kin1.cio1
hi5a2	hi5a2
hai2ang1	hai2.ang1
hai2ang1	hai2.ang1
ce1	ce1
ce1 sua1hi5	ce1|sua1.hi5
sua1	sua1
sua1hi5	sua1.hi5
ce1 siann2mih8	ce1|siann2.mih8
ce1	ce1
ce1 siann2mih8	ce1|siann2.mih8
ce1 cit4a2hi5	ce1|cit4.a2.hi5
ce1	ce1
tai5a2hi5	tai5a2.hi5
ce1 siann2mih8	ce1|siann2.mih8
oo1peh8 kong2	oo1.peh8|kong2
he5a2	he5a2
ce1	ce1
ce1 siann2mih8	ce1|siann2.mih8
li2 khuann3	li2|khuann3
ce1 siann2mih8	ce1|siann2.mih8
cai1	cai1
ce1 hoo5liu1	ce1|hoo5liu1
ce1	ce1
oo1mua5	oo1.mua5
oo1mua5	oo1.mua5
ce1 siann2mih8	ce1|siann2.mih8
ce1	ce1
cai1iann2	cai1.iann2
lai5a2	lai5a2
ce1	ce1
ce1 siann2mih8	ce1|siann2.mih8
si1kue1	si1.kue1
ce1 siann2mih8	ce1|siann2.mih8
hiunn1koo1	hiunn1.koo1
ce1 siann2	ce1|siann2
ce1 siann2mih8	ce1|siann2.mih8
chai3hng5a2	chai3.hng5a2
ce1 siann2mih8	ce1|siann2.mih8
ce1	ce1
ce1 siann2	ce1|siann2
siann2mih8	siann2.mih8
ce1 siann2mih8	ce1|siann2.mih8
ce1 siann2mih8	ce1|siann2.mih8
ce1 siann2mih8	ce1|siann2.mih8
ce1	ce1
khoo2kue1 ke1	khoo2.kue1|ke1
khoo2kue1 ke1	khoo2.kue1|ke1
ce1 siann2	ce1|siann2
ce1 siann2mih8	ce1|siann2.mih8
li2	li2
ce1 siann2mih8	ce1|siann2.mih8
kam1a2	kam1.a2
too5kun2a2	too5kun2.a2
si5cing1a2	si5cing1.a2
piann2a2	piann2.a2
ce1	ce1
ce1	ce1
ka1to1	ka1.to1
ce1	ce1
ce1 siann2mih8	ce1|siann2.mih8
thau5moo1	thau5moo1
ce1 ang3a2	ce1|ang3.a2
ce1 so2si5	ce1|so2.si5
li2 kong2	li2|kong2
ce1	ce1
ce1 siann2mih8	ce1|siann2.mih8
ce1 si5cing1	ce1|si5cing1
ce1 ut4tau2	ce1|ut4.tau2
li2 khuann3 ut4tau2	li2|khuann3|ut4.tau2
ut4tau2 sui2	ut4.tau2|sui2
ce1	ce1
phinn7a2	phinn7a2
ce1	ce1
chiu2	chiu2
ce1	ce1
hinn7a2	hinn7a2
ce1 siann2mih8	ce1|siann2.mih8
ti1kha1	ti1.kha1
ce1	ce1
chui3khi2	chui3.khi2
ce1	ce1
ce1	ce1
thau5moo1	thau5moo1
ce1	ce1
gin2a2	gin2.a2
hi5a2	hi5a2
ce1	ce1
ce1 sann1	ce1|sann1
ce1	ce1
koh4 hian1	koh4|hian1
ce1 sann2mih8	ce1|sann2.mih8
he1	he1
ce1	ce1
pa1pa1 cia1	pa1.pa1|cia1
ce1 sann2mih8	ce1|sann2.mih8
ce1 a1ma2	ce1|a1.ma2
ce1	ce1
pa1pa1	pa1.pa1
ce1 pa1pa1	ce1|pa1.pa1
ce1	ce1
ce1	ce1
ko1ko1	ko1.ko1
gua2 cai1	gua2|cai1
ce1	ce1
ce1 sann2	ce1|sann2
ce1	ce1
ce1	ce1
ce1	ce1
a1cik4	a1.cik4
ce1	ce1
a1koo1	a1.koo1
ce1 kheh4thiann1	ce1|kheh4.thiann1
ce1 phong3i2	ce1|phong3.i2
ce1 i2a2	ce1|i2.a2
khah4 siann1	khah4|siann1
i2a2	i2.a2
ce1	ce1
ce1 toh4a2	ce1|toh4.a2
li2 khuann3	li2|khuann3
ka1pi1	ka1.pi1
toh4a2	toh4.a2
ce1 te7than2	ce1|te7than2
hue1	hue1
chai3to1	chai3.to1
ce1 siann2mih8	ce1|siann2.mih8
tiann2a2	tiann2.a2
leh4 cu2png7	leh4|cu2.png7
ce1 uann2	ce1|uann2
tian7ko1	tian7ko1
puann5a2	puann5a2
kong2 phiat4a2	kong2|phiat4.a2
phiat4a2	phiat4.a2
thng1si5a2	thng1.si5a2
khi2bin2a2	khi2.bin2.a2
khi2bin2a2 beh4 chong3 sann2mih8	khi2.bin2.a2|beh4|chong3|sann2.mih8
be2thang2	be2.thang2
eh8king1a2	eh8king1.a2
ue7sing1cua2	ue7sing1.cua2
beh4 chong3 sann2mih8	beh4|chong3|sann2.mih8
beh4 chit4	beh4|chit4
li2 kong2 cit4 ciah4 siann2mih8	li2|kong2|cit4|ciah4|siann2.mih8
niau1mi1	niau1.mi1
hai7khi3	hai7khi3
beh4 an3na2	beh4|an3.na2
hai7khi3 ai3 an3na2	hai7khi3|ai3|an3.na2
hai7khi3 beh4 an3na2	hai7khi3|beh4|an3.na2
hai7khi3	hai7khi3
beh4 an3na2	beh4|an3.na2
hit4 ciah4 siann2mih8	hit4|ciah4|siann2.mih8
be2be2	be2.be2
cit4 ciah4 hoo2	cit4|ciah4|hoo2
ti1a2	ti1.a2
cit4 ciah4 kau2a2	cit4|ciah4|kau2.a2
ho2	ho2
khoo1khoo1	khoo1.khoo1
kong2 beh4 bi2	kong2|beh4|bi2
siann2mih8	siann2.mih8
chiu2pio2a2	chiu2.pio2.a2
chiu2pio2a2	chiu2.pio2.a2
ce1 siann2mih8	ce1|siann2.mih8
hinn7a2	hinn7a2
ce1	ce1
ce1 siann2mih8	ce1|siann2.mih8
chui3	chui3
ce1	ce1
ce1	ce1
a1i5 jip8khi3	a1.i5|jip8khi3
sai1	sai1
sui2	sui2
ce1 siann2mih8	ce1|siann2.mih8
siann2mih8	siann2.mih8
cai1iann2	cai1.iann2
li2 sioh4sioh4	li2|sioh4.sioh4
kong2 kio3 i1 ho2	kong2|kio3|i1|ho2
long2 bue7ki3cit4	long2|bue7ki3.cit4
khoo1khoo1	khoo1.khoo1
tueh4	tueh4
ce1 siann2mih8	ce1|siann2.mih8
li2 ai3 a1i5 kong2	li2|ai3|a1.i5|kong2
a1i5 cai1iann2	a1.i5|cai1.iann2
li2 ai3 i1 kong2	li2|ai3|i1|kong2
e5a2	e5a2
lau5hueh4 tueh4	lau5hueh4|tueh4
lau5hueh4 tueh4	lau5hueh4|tueh4
siann2mih8	siann2.mih8
ce1 siann2mih8	ce1|siann2.mih8
ce1 siann2mih8	ce1|siann2.mih8
ce1 ui5kin1	ce1|ui5kin1
li2 e7ca2a2 kua3 he1 ui5kin1	li2|e7ca2.a2|kua3|he1|ui5kin1
leh4 cian1	leh4|cian1
ciu2kan1a2	ciu2.kan1.a2
ce1 siann2mih8	ce1|siann2.mih8
beh4	beh4
cui2kiau2	cui2.kiau2
kong2	kong2
hue2chia1	hue2.chia1
khui1 hue2chia1	khui1|hue2.chia1
chiu2ci2	chiu2.ci2
chiu2ci2	chiu2.ci2
bok8kue1 ci2	bok8kue1|ci2
bo5ai3 cu2	bo5ai3|cu2
li2 a1i5 kong2 beh4	li2|a1.i5|kong2|beh4
a1i5	a1.i5
koh4 beh4 tho2tng2lai5	koh4|beh4|tho2.tng2.lai5
an3ne1	an3.ne1
lan2 khi3	lan2|khi3
kam2 ho2	kam2|ho2
li2 gua2 kong2 sann2mih8	li2|gua2|kong2|sann2.mih8
li2 chiunn3 a1i5 thiann1	li2|chiunn3|a1.i5|thiann1
koh4	koh4
khah4 siann1	khah4|siann1
li2 chiunn3	li2|chiunn3
koh4	koh4
koh4	koh4
li2 long2 bo5ai3 khah4 cing3king1	li2|long2|bo5ai3|khah4|cing3.king1
khi3 chit4tho5	khi3|chit4.tho5
cham1	cham1
cham1	cham1
kah4 khi3	kah4|khi3
li2 kah4 khi3	li2|kah4|khi3
kah4	kah4
peh4kong1a2	peh4.kong1.a2
koh4 a1kong1	koh4|a1.kong1
koh4 a1i5	koh4|a1.i5
koh4	koh4
koh4 a1peh4 kah4 a1m2 khi3	koh4|a1.peh4|kah4|a1.m2|khi3
koh4 ko1ko1 in1 khi3	koh4|ko1.ko1|in1|khi3
lan2 khi3 toh4 sng2	lan2|khi3|toh4|sng2
khi3 toh4	khi3|toh4
li2 kam2 khuann3tioh8 huan1a2 lih4 thiau3bu2	li2|kam2|khuann3.tioh8|huan1.a2|lih4|thiau3.bu2
khuann3tioh8	khuann3.tioh8
li2 sng2 hue2chia1	li2|sng2|hue2.chia1
li2	li2
beh4 koh4 khi3	beh4|koh4|khi3
li2 beh4 koh4 khi3 sng2	li2|beh4|koh4|khi3|sng2
beh4	beh4
beh4	beh4
beh4 kio3 li2 khi3	beh4|kio3|li2|khi3
kio3 a1i5 li2 khi3 ho2	kio3|a1.i5|li2|khi3|ho2
mai3	mai3
mai3 sng2	mai3|sng2
li2 khuann3 ce1 siann2mih8	li2|khuann3|ce1|siann2.mih8
hui1ling5ki1	hui1.ling5ki1
ce1	ce1
ce1	ce1
ce1 te5koo2	ce1|te5koo2
ce1 si5cing1a2	ce1|si5cing1.a2
ce1 khi2bin2a2	ce1|khi2.bin2.a2
koh4	koh4
ce1 ke1nng7	ce1|ke1.nng7
ce1 ap8a2	ce1|ap8a2
ce1 bo7a2	ce1|bo7a2
ce1 hi5a2	ce1|hi5a2
cui2	cui2
kim1ku1chia1	kim1.ku1.chia1
kim1ku1	kim1.ku1
ce1 ian5pit4	ce1|ian5pit4
ce1 ka1to1	ce1|ka1.to1
ce1 ti1a2	ce1|ti1.a2
ce1	ce1
ce1 siann2	ce1|siann2
ce1 ping1	ce1|ping1
ho2ciah8	ho2.ciah8
li2 ai3 kong2 siann2mih8	li2|ai3|kong2|siann2.mih8
ho2	ho2
ce1 phang1	ce1|phang1
bit8phang1	bit8phang1
ce1 se2sann1a2ki1	ce1|se2.sann1.a2.ki1
ce1 bin7kin1	ce1|bin7kin1
li2	li2
li2 beh4 se2 siann2mih8	li2|beh4|se2|siann2.mih8
se2bin7	se2.bin7
ce1 e5a2	ce1|e5a2
e5a2	e5a2
e5a2	e5a2
koh4	koh4
