为什么 是 五 号	为.什.么.是.五.号
这 上面 不 是 应该 盖 那个 盖子 吗	这.上.面.不.是.应.该.盖.那.个.盖.子.吗
那个 板子	那.个.板.子
怎么 不 好 了	怎.么.不.好.了
我 觉得 很 好	我.觉.得.很.好
家 里 没有 胶布 哎	家.里.没.有.胶.布.哎
哪里 胶布	哪.里.胶.布
你 粘 在 艺术 上 的 那个 啊	你.粘.在.艺.术.上.的.那.个.啊
在 哪 呢	在.哪.呢
我 不 知道	我.不.知.道
你 给 我 把 它 拿 出来	你.给.我.把.它.拿.出.来
没有 了 吧	没.有.了.吧
贴 在 墙 上 吗	贴.在.墙.上.吗
哦 好	哦.好
这个 还 能 用 吗	这.个.还.能.用.吗
还 粘 吗	还.粘.吗
粘 啊	粘.啊
恐怕 粘	恐.怕.粘
啊	啊
恐怕 粘 不住 了	恐.怕.粘.不.住.了
你 看 粘 不住 了 吧	你.看.粘.不.住.了.吧
要不要 妈妈 帮 你 忙	要.不.要.妈.妈.帮.你.忙
嗯	嗯
我 来 试试 看	我.来.试.试.看
啊	啊
没 皮子	没.皮.子
苹果 吃 了 一半 不 吃 啦	苹.果.吃.了.一.半.不.吃.啦
不 吃 爸爸 会 吃 哦	不.吃.爸.爸.会.吃.哦
在 那边	在.那.边
你 等 一下 吃 好 了 噢	你.等.一.下.吃.好.了.噢
是 不是 这样 粘	是.不.是.这.样.粘
啊	啊
胶布 啊	胶.布.啊
我 试试 看 噢	我.试.试.看.噢
恐怕 这样 不 太 行	恐.怕.这.样.不.太.行
那些 胶布 都 不 粘 了	那.些.胶.布.都.不.粘.了
哦 这个 抽屉 有 胶布	哦.这.个.抽.屉.有.胶.布
可是 这个 很 贵 不 能 用 很 多 支	可.是.这.个.很.贵.不.能.用.很.多.支
用 一点	用.一.点
用 一点点 就 好 咯	用.一.点.点.就.好.咯
要不然 我们 以后 寄 东西 就 没有 胶布 了	要.不.然.我.们.以.后.寄.东.西.就.没.有.胶.布.了
啊	啊
爸爸 洗 手	爸.爸.洗.手
这 还是 不 行 啊	这.还.是.不.行.啊
我 没有 剪刀 啊	我.没.有.剪.刀.啊
剪刀 在 哪里	剪.刀.在.哪.里
哪个 上面	哪.个.上.面
高高的 上面 啊	高.高.的.上.面.啊
我 看看	我.看.看
这个 可以 用 吗	这.个.可.以.用.吗
那 你 不 能 玩 噢	那.你.不.能.玩.噢
我 剪 好 就 收 起来 噢	我.剪.好.就.收.起.来.噢
我 剪 一点点 就 好 了 噢	我.剪.一.点.点.就.好.了.噢
我们 不 要 一直 在 多	我.们.不.要.一.直.在.多
太 多 以后 就 没有 了	太.多.以.后.就.没.有.了
啊	啊
要 贴 几 个 地方	要.贴.几.个.地.方
嗯	嗯
你 说 要 贴 几 个 地方 啊	你.说.要.贴.几.个.地.方.啊
三 个 地方	三.个.地.方
哪 三 个 地方	哪.三.个.地.方
还有 呢	还.有.呢
嗯 还有 没有	嗯.还.有.没.有
这边 不 贴 啊	这.边.不.贴.啊
也 贴 啊	也.贴.啊
那 不 是 四 个 地方 吗	那.不.是.四.个.地.方.吗
四 个 地方 是 吧	四.个.地.方.是.吧
这边	这.边
还有 这边	还.有.这.边
还有 呢	还.有.呢
嗯 还有 这边	嗯.还.有.这.边
好 我 试试 看 啊	好.我.试.试.看.啊
我 把 它 剪 成 四 个 小 袋子	我.把.它.剪.成.四.个.小.袋.子
你 拿 着	你.拿.着
你 帮 我 拿 一 个  好不好	你.帮.我.拿.一.个...好.不.好
你 在 手 伸 出 来	你.在.手.伸.出.来
不 要 贴 在 地 上	不.要.贴.在.地.上
贴 在 地 上 等 会 我 就 不 能 贴 了	贴.在.地.上.等.会.我.就.不.能.贴.了
拿 好 拿 着 不 要 动	拿.好.拿.着.不.要.动
还 没有	还.没.有
那个 还 没 剪 好	那.个.还.没.剪.好
把手 伸 出 来	把.手.伸.出.来
我 给 你 贴 在 手上	我.给.你.贴.在.手.上
你 的 手 就 这样 伸 着 不 能 动 噢	你.的.手.就.这.样.伸.着.不.能.动.噢
听 到 没有	听.到.没.有
一 动 它 就 胶带 就 不 粘 了	一.动.它.就.胶.带.就.不.粘.了
一 动 就 不 粘 了	一.动.就.不.粘.了
我 叫 你 拿 下来 你 在 拿 下来	我.叫.你.拿.下.来.你.在.拿.下.来
是 不是 这样	是.不.是.这.样
是 不是 这样	是.不.是.这.样
伸手 给 我	伸.手.给.我
快 好 了	快.好.了
好 了 你 应该 怎么样 啊	好.了.你.应.该.怎.么.样.啊
哎 我 呢	哎.我.呢
不 是 啊	不.是.啊
你 应该 说 什么	你.应.该.说.什.么
不 是	不.是
哎	哎
好 啦	好.啦
是 不是 这样	是.不.是.这.样
哎 这个 不 行	哎.这.个.不.行
还 不错 吧	还.不.错.吧
怎么样	怎.么.样
喜欢 吗	喜.欢.吗
啊	啊
照相 啊	照.相.啊
没事 哦	没.事.哦
不 是 你 怎么 不 要	不.是.你.怎.么.不.要
又 坏 啦	又.坏.啦
你 忘记 关 灯 啦	你.忘.记.关.灯.啦
你 睡觉 啊	你.睡.觉.啊
床单 呐	床.单.呐
我 一 个 人 留 在 这边 我 不 敢 哎	我.一.个.人.留.在.这.边.我.不.敢.哎
我 怕	我.怕
我 害怕 哎	我.害.怕.哎
我 害怕 怎 么 办 呢	我.害.怕.怎.么.办.呢
你 陪 我 好 了 好不好	你.陪.我.好.了.好.不.好
我们 三 个人 在 里头 啊	我.们.三.个.人.在.里.头.啊
那 你 呢	那.你.呢
好 啊	好.啊
那 门 怎 么 办	那.门.怎.么.办
关 上	关.上
爸爸 在 外头 哎	爸.爸.在.外.头.哎
他 一 个 人 会 害怕 哦	他.一.个.人.会.害.怕.哦
你 怎么 知道 不 会	你.怎.么.知.道.不.会
你 为什么 会 锁 上门 呐	你.为.什.么.会.锁.上.门.呐
那 他 心里 多 难过 啊	那.他.心.里.多.难.过.啊
我们 都 在 这里 玩	我.们.都.在.这.里.玩
他 一 个 人 在 外面	他.一.个.人.在.外.面
谁 是 坏人	谁.是.坏.人
你 怎么 知道 他 是 坏人	你.怎.么.知.道.他.是.坏.人
你 看 刚 睡 醒 没 折 被子	你.看.刚.睡.醒.没.折.被.子
你 这么 大 了 怎么 能 装 小 妹妹 呢	你.这.么.大.了.怎.么.能.装.小.妹.妹.呢
好 试试 看	好.试.试.看
小 妹妹 要 怎么样	小.妹.妹.要.怎.么.样
怎么 包 呢	怎.么.包.呢
吓 谁 呢	吓.谁.呢
你 吓 谁 呢	你.吓.谁.呢
我	我
我 没有 呀	我.没.有.呀
那样 好	那.样.好
那 你 躺 下	那.你.躺.下
可是 包 着 很 热 哦	可.是.包.着.很.热.哦
我 先 摸摸 你 出 汗 了 没有	我.先.摸.摸.你.出.汗.了.没.有
没 出 汗	没.出.汗
来 过来	来.过.来
这个 包 着 太 热 了	这.个.包.着.太.热.了
我 包 不 动 你	我.包.不.动.你
我们 今天 不 要 包 了	我.们.今.天.不.要.包.了
玩 别的 好不好	玩.别.的.好.不.好
那 小 妹妹 要 做 什么	那.小.妹.妹.要.做.什.么
那 多 没意思	那.多.没.意.思
不 要	不.要
我 抱 你好 了	我.抱.你.好.了
我 站 着 抱 你好 了	我.站.着.抱.你.好.了
把 小 妹妹 抱 在 怀 里	把.小.妹.妹.抱.在.怀.里
不 好玩	不.好.玩
你 说 为什么 好玩	你.说.为.什.么.好.玩
你 好玩	你.好.玩
我 不 好	我.不.好
我 抱 着 你好 重 好 累 哦	我.抱.着.你.好.重.好.累.哦
我 试试 看 噢	我.试.试.看.噢
盖 一 会 就 要 拿 下来	盖.一.会.就.要.拿.下.来
要不然 你 太 热 了	要.不.然.你.太.热.了
你 看 一 抱 就 生病 了 吧	你.看.一.抱.就.生.病.了.吧
咳嗽 了 吧	咳.嗽.了.吧
抱 不 动	抱.不.动
这么 厚 的 被子 我 那里 抱 的 动 啊	这.么.厚.的.被.子.我.那.里.抱.的.动.啊
都 很 厚	都.很.厚
啊	啊
毯子 也 不 行	毯.子.也.不.行
软 的	软.的
哦 那个 呢	哦.那.个.呢
那个 小 毯子 呢	那.个.小.毯.子.呢
不 见 啦	不.见.啦
哦 系 毛巾 好不好	哦.系.毛.巾.好.不.好
要 毯子 啊	要.毯.子.啊
系 毛巾 比较 好玩 呐	系.毛.巾.比.较.好.玩.呐
还 要 系 起来 啊	还.要.系.起.来.啊
好 吧 我们 试试 看	好.吧.我.们.试.试.看
是 不是 这样	是.不.是.这.样
怎么 弄 好 嘛	怎.么.弄.好.嘛
这样 弄 起来	这.样.弄.起.来
掀 起 来	掀.起.来
是 不是 这样	是.不.是.这.样
好 然后 呢	好.然.后.呢
啊	啊
系 起来 啊	系.起.来.啊
手 放 在 外面 好 了	手.放.在.外.面.好.了
好 系 起来 了	好.系.起.来.了
两 个 什么	两.个.什.么
嗯	嗯
没有	没.有
都 什么 都 要 系 起来 啊	都.什.么.都.要.系.起.来.啊
哦	哦
哦 你 是 说 要 把 很 多 袋子 都 系 起来 是 吧	哦.你.是.说.要.把.很.多.袋.子.都.系.起.来.是.吧
那 你 的 换 一 个 方向 哦	那.你.的.换.一.个.方.向.哦
这 样子	这.样.子
手 要 拿 出来	手.要.拿.出.来
等 一 下 嘛	等.一.下.嘛
我 先 系 上面 的 袋子	我.先.系.上.面.的.袋.子
好 是 不是 这样	好.是.不.是.这.样
脚 也 要 系 起来 啊	脚.也.要.系.起.来.啊
这 脚 怎么 这么 脏 啊	这.脚.怎.么.这.么.脏.啊
啊	啊
你 不 要 乱 动	你.不.要.乱.动
你 乱 动	你.乱.动
我 就 系 不 起来 了	我.就.系.不.起.来.了
还 没 系 嘛	还.没.系.嘛
这里 也 系 起来	这.里.也.系.起.来
啊	啊
还 要 抱 啊	还.要.抱.啊
不 行	不.行
小 妹妹 不 会 动 的	小.妹.妹.不.会.动.的
妈妈 叫 她 怎么样 她 就 怎么样	妈.妈.叫.她.怎.么.样.她.就.怎.么.样
妈妈 把 她 放 在 床 上 她 就 躺 在 床 上	妈.妈.把.她.放.在.床.上.她.就.躺.在.床.上
小 妹妹 不 会 这样 讲	小.妹.妹.不.会.这.样.讲
叔叔 家 的 小 妹妹 怎么样	叔.叔.家.的.小.妹.妹.怎.么.样
每天 都 抱 着 吗	每.天.都.抱.着.吗
谁 抱 她	谁.抱.她
阿姨 抱 她	阿.姨.抱.她
我 又 不 是 阿姨	我.又.不.是.阿.姨
那 你 想 先 亲 我 一下	那.你.想.先.亲.我.一.下
粘粘 的	粘.粘.的
你 嘴巴 怎么 黏黏 的	你.嘴.巴.怎.么.黏.黏.的
嗯 为什么 黏黏	嗯.为.什.么.黏.黏
没有 喝 水	没.有.喝.水
要不要 喝	要.不.要.喝
哎呀 我 的 天	哎.呀.我.的.天
好 重 啊	好.重.啊
坐 着 抱 好 吧	坐.着.抱.好.吧
妈妈 现在 抱 不 动	妈.妈.现.在.抱.不.动
什么	什.么
到 外面 去 干 什么	到.外.面.去.干.什.么
小 妹妹 怕 吹 风	小.妹.妹.怕.吹.风
要 待 在 房间 里面	要.待.在.房.间.里.面
怎么 啦	怎.么.啦
嗯 我 看 你 也 怕 吹 风	嗯.我.看.你.也.怕.吹.风
不 是 流 鼻涕 了 吗	不.是.流.鼻.涕.了.吗
那 你 吹 风 会 怎么样	那.你.吹.风.会.怎.么.样
会不会 感冒	会.不.会.感.冒
嗯	嗯
你 一 拉 就 把 它 拉 开 了	你.一.拉.就.把.它.拉.开.了
来 你 别 动	来.你.别.动
我 给 你 系 起来	我.给.你.系.起.来
不 需要 系 上 嘛	不.需.要.系.上.嘛
不 当 小 妹妹 啦	不.当.小.妹.妹.啦
当 小 妹妹 那 就 躺 好 了	当.小.妹.妹.那.就.躺.好.了
不 系 起来	不.系.起.来
小 妹妹 一定 要 系 起来	小.妹.妹.一.定.要.系.起.来
不 系 起来 就 不 是 小 妹妹	不.系.起.来.就.不.是.小.妹.妹
就 不 能 抱 出去	就.不.能.抱.出.去
抱 着 有 什么 好处 啊	抱.着.有.什.么.好.处.啊
抱 出去 你 舒服 吗	抱.出.去.你.舒.服.吗
哦 我 不 舒服 哎	哦.我.不.舒.服.哎
谁	谁
对	对
哎哟 我 的 天	哎.哟.我.的.天
那 谁 开 门 呐	那.谁.开.门.呐
谁	谁
